BHK,Size_in_SqFt,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Availability_Status,Bathrooms,Balcony,Population_Density,Mall_Distance_km,Crime_Index,Infra_Growth_Score,Amenity_Count,Floor_Ratio,State_Encoded,City_Encoded,Property_Type_Apartment,Property_Type_Independent House,Property_Type_Villa,Furnished_Status_Furnished,Furnished_Status_Semi-furnished,Furnished_Status_Unfurnished,Facing_East,Facing_North,Facing_South,Facing_West,Owner_Type_Broker,Owner_Type_Builder,Owner_Type_Owner
2,4424,20,22,17,4,3,2,0,1,1,2,1,1509,10.8,2.2,4.1,4,0.91,9,38,1,0,0,1,0,0,0,0,1,0,1,0,0
3,2257,12,21,14,1,8,3,1,0,0,3,1,11297,4.5,8.0,6.7,5,0.57,4,30,0,0,1,1,0,0,0,0,1,0,0,0,1
2,4675,15,15,19,4,7,3,1,1,1,2,1,2000,8.4,5.4,7.3,3,1.0,15,7,0,0,1,0,0,1,0,0,0,1,0,0,1
5,2310,23,23,15,6,7,2,0,1,0,5,2,420,12.5,4.8,5.9,5,1.0,3,5,0,1,0,0,1,0,0,0,0,1,0,0,1
2,4718,7,9,15,9,2,2,1,1,0,2,2,3000,12.8,4.5,5.3,4,0.78,10,18,1,0,0,0,1,0,0,1,0,0,0,1,0
2,4672,24,27,13,4,3,2,0,0,0,2,1,1600,3.1,3.4,4.1,2,0.89,12,4,0,1,0,1,0,0,0,1,0,0,0,0,1
5,2729,24,26,28,10,4,1,1,1,1,5,3,1100,14.3,2.2,5.0,2,0.92,19,10,0,1,0,0,1,0,0,1,0,0,0,0,1
3,4123,3,26,6,6,3,3,1,0,0,3,1,1040,10.3,2.4,6.7,4,0.12,0,39,1,0,0,1,0,0,1,0,0,0,0,0,1
1,4253,11,15,23,9,9,3,0,1,1,1,0,480,10.3,3.5,9.4,5,0.73,2,13,0,0,1,1,0,0,0,0,0,1,0,1,0
5,1875,6,9,19,10,7,1,0,0,0,5,2,1040,12.9,3.1,5.9,5,0.67,0,39,0,0,1,0,1,0,0,0,1,0,0,1,0
5,650,21,22,33,3,6,3,1,0,0,5,2,2200,10.7,5.0,6.7,3,0.95,13,25,0,0,1,0,0,1,0,1,0,0,0,1,0
3,3283,13,26,32,8,8,1,0,1,1,3,1,20667,3.7,8.0,5.6,4,0.5,11,27,1,0,0,0,0,1,1,0,0,0,0,1,0
4,1756,12,22,21,10,8,3,0,1,1,4,3,1500,9.4,4.1,9.4,5,0.55,13,1,0,0,1,0,0,1,0,0,0,1,0,1,0
1,4729,9,21,19,2,10,2,1,0,1,1,0,420,5.7,1.3,5.6,2,0.43,3,5,1,0,0,0,0,1,1,0,0,0,1,0,0
2,2862,19,22,14,10,2,3,0,0,1,2,1,500,5.1,3.0,7.6,2,0.86,14,21,0,1,0,1,0,0,0,1,0,0,1,0,0
2,992,13,23,25,2,5,3,0,1,0,2,2,3800,8.5,7.8,6.1,5,0.57,6,14,0,1,0,1,0,0,1,0,0,0,0,1,0
3,4843,15,18,6,5,5,1,0,0,0,3,1,500,8.4,3.9,3.8,3,0.83,14,21,0,0,1,0,1,0,0,1,0,0,0,0,1
3,2145,13,26,31,2,6,2,0,1,0,3,2,1815,5.1,3.3,4.4,2,0.5,17,24,0,1,0,0,0,1,0,0,1,0,0,0,1
1,1669,7,27,28,10,9,2,1,0,0,1,0,18480,0.9,9.1,7.7,1,0.26,16,17,0,0,1,0,0,1,0,1,0,0,1,0,0
3,1132,8,18,5,2,8,3,0,0,0,3,1,1540,10.8,3.2,7.0,5,0.44,1,15,1,0,0,0,0,1,0,1,0,0,0,0,1
1,2226,8,12,12,6,7,1,1,0,0,1,0,380,6.5,1.0,4.7,1,0.67,1,36,0,1,0,0,1,0,1,0,0,0,1,0,0
2,3090,18,28,23,1,6,1,0,1,0,2,2,1815,11.6,3.4,2.9,2,0.64,17,24,0,0,1,0,1,0,1,0,0,0,0,1,0
3,553,21,22,17,8,5,3,0,1,0,3,2,380,13.2,6.1,7.9,3,0.95,1,36,0,1,0,0,0,1,0,0,1,0,0,1,0
2,4304,15,27,20,4,2,1,0,1,1,2,1,1200,5.1,3.2,2.6,1,0.56,8,26,0,0,1,0,0,1,1,0,0,0,0,0,1
5,2566,1,17,26,9,2,2,1,1,1,5,3,817,10.3,1.9,5.3,1,0.06,18,16,0,0,1,1,0,0,0,1,0,0,1,0,0
5,2595,5,7,29,5,5,1,0,0,1,5,3,2900,9.4,6.3,3.8,3,0.71,6,12,0,0,1,1,0,0,1,0,0,0,0,0,1
4,890,19,22,25,1,1,3,0,1,0,4,3,4378,3.4,7.1,4.6,1,0.86,8,2,0,0,1,0,0,1,1,0,0,0,1,0,0
4,1388,5,28,2,1,1,3,0,0,0,4,3,1540,9.8,4.9,4.6,3,0.18,1,15,0,0,1,0,1,0,0,0,0,1,1,0,0
1,676,14,24,26,5,2,1,0,1,0,1,1,740,4.5,3.8,2.9,4,0.58,7,35,1,0,0,1,0,0,1,0,0,0,1,0,0
3,3276,10,21,35,10,5,2,1,0,0,3,2,24252,2.9,6.3,6.5,5,0.48,19,23,0,1,0,0,0,1,1,0,0,0,0,0,1
5,2079,18,26,13,2,7,2,0,1,1,5,2,1815,6.7,1.4,4.7,4,0.69,17,24,0,1,0,1,0,0,1,0,0,0,1,0,0
3,1069,14,20,21,3,7,3,1,1,1,3,2,565,10.4,5.4,7.0,3,0.7,11,29,0,1,0,0,0,1,0,1,0,0,0,1,0
1,531,22,26,35,10,5,2,0,0,1,1,1,1509,4.5,1.0,6.5,4,0.85,9,38,1,0,0,0,0,1,0,1,0,0,0,1,0
4,2411,2,28,3,8,8,1,1,0,1,4,3,24252,4.4,8.3,5.6,4,0.07,19,23,0,0,1,0,0,1,1,0,0,0,1,0,0
1,800,10,20,33,3,4,1,0,1,0,1,1,11297,3.6,6.6,2.9,3,0.5,4,30,0,0,1,0,0,1,1,0,0,0,1,0,0
5,2604,1,21,28,5,4,2,1,1,0,5,2,740,9.9,5.3,4.7,4,0.05,7,35,0,1,0,0,1,0,1,0,0,0,0,1,0
4,3323,6,24,28,3,7,3,1,1,1,4,2,594,8.1,1.0,7.0,2,0.25,18,9,1,0,0,0,1,0,0,0,1,0,0,0,1
5,4159,11,21,19,10,6,1,0,0,1,5,3,855,4.0,2.3,5.6,1,0.52,10,3,1,0,0,0,1,0,0,0,1,0,1,0,0
5,4840,2,13,26,9,7,1,1,1,1,5,3,817,3.6,4.0,5.6,5,0.15,18,16,0,0,1,0,1,0,0,1,0,0,1,0,0
4,4761,11,15,4,2,5,3,1,1,0,4,3,1600,14.3,2.6,6.1,3,0.73,12,4,0,0,1,0,1,0,0,0,1,0,0,1,0
4,690,5,21,6,7,4,3,0,0,0,4,2,1540,12.4,3.7,7.3,3,0.24,1,15,1,0,0,1,0,0,1,0,0,0,0,0,1
2,2640,10,26,26,4,2,1,0,0,1,2,2,3500,13.2,6.8,2.6,2,0.38,17,31,0,1,0,1,0,0,0,0,0,1,0,0,1
1,2546,15,17,19,8,6,3,1,1,1,1,0,2200,8.6,5.5,8.2,1,0.88,13,25,0,0,1,0,1,0,0,0,0,1,1,0,0
4,3101,4,24,10,3,5,1,0,0,1,4,3,1803,11.6,2.4,3.2,2,0.17,2,32,0,0,1,1,0,0,0,0,1,0,1,0,0
2,1412,10,27,27,5,5,1,1,0,0,2,2,2100,10.8,7.3,3.8,1,0.37,12,8,0,1,0,0,1,0,0,0,0,1,0,0,1
2,1110,3,10,9,3,10,3,0,1,1,2,2,2000,5.5,5.4,7.9,4,0.3,15,7,1,0,0,0,1,0,0,1,0,0,0,0,1
3,3423,6,18,27,7,4,1,1,1,1,3,1,20667,1.4,4.6,4.1,4,0.33,11,27,0,1,0,1,0,0,0,1,0,0,0,1,0
2,559,9,27,13,4,7,2,1,1,0,2,2,26903,4.2,8.7,5.3,4,0.33,15,6,1,0,0,1,0,0,0,0,1,0,1,0,0
3,3964,15,19,17,8,1,1,1,0,1,3,2,817,12.0,2.3,3.5,2,0.79,18,16,0,1,0,0,0,1,0,0,1,0,0,0,1
3,2474,6,29,21,10,4,3,1,1,0,3,2,817,6.3,4.8,8.2,3,0.21,18,16,0,1,0,0,1,0,0,1,0,0,0,1,0
3,1988,24,29,20,1,2,2,0,0,1,3,2,850,14.5,4.9,2.9,1,0.83,16,41,0,0,1,0,0,1,0,0,0,1,0,1,0
3,1713,19,26,29,2,5,3,1,1,1,3,1,11297,2.5,7.6,6.1,3,0.73,4,30,0,1,0,0,1,0,0,0,0,1,0,0,1
1,1642,24,27,2,4,7,2,0,1,0,1,0,1200,9.9,1.2,5.3,4,0.89,8,26,1,0,0,0,0,1,0,0,0,1,0,0,1
3,2836,4,29,16,2,4,1,0,1,1,3,2,740,14.7,3.0,2.6,2,0.14,7,35,0,0,1,0,1,0,0,1,0,0,0,1,0
4,1351,4,20,6,3,8,2,1,0,1,4,2,11297,1.4,5.5,5.3,1,0.2,4,30,0,1,0,0,1,0,0,0,1,0,0,1,0
2,4535,23,29,20,5,3,3,1,1,0,2,2,2200,14.8,5.6,6.4,3,0.79,13,25,0,0,1,1,0,0,0,1,0,0,0,0,1
1,3533,18,28,4,3,8,2,1,0,1,1,0,1815,14.2,3.1,5.3,3,0.64,17,24,1,0,0,0,0,1,0,1,0,0,1,0,0
2,3397,21,27,35,3,4,3,1,1,1,2,1,24252,1.2,7.8,6.1,5,0.78,19,23,0,1,0,1,0,0,0,0,0,1,0,1,0
1,4918,12,23,7,9,2,2,1,0,1,1,0,565,8.1,2.2,5.3,1,0.52,11,29,0,0,1,1,0,0,0,0,0,1,0,1,0
3,4388,4,5,34,9,7,2,0,0,0,3,1,11730,2.7,6.0,6.8,1,0.8,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0
5,691,4,5,22,5,9,1,0,1,0,5,3,817,6.3,3.6,5.0,2,0.8,18,16,0,1,0,0,1,0,0,0,1,0,0,1,0
5,1173,12,14,4,8,2,3,1,1,0,5,3,6900,12.4,5.0,7.0,2,0.86,14,19,0,0,1,0,1,0,0,0,1,0,1,0,0
5,3782,0,28,30,2,7,1,0,1,0,5,2,480,4.7,1.0,3.5,2,0.0,2,13,0,0,1,0,1,0,0,0,1,0,1,0,0
3,1223,2,16,15,5,7,1,1,0,1,3,2,2000,14.8,5.4,4.4,4,0.12,15,7,0,1,0,0,1,0,0,1,0,0,0,0,1
1,4483,6,11,20,2,10,2,1,1,1,1,0,3800,5.5,4.7,5.6,5,0.55,6,14,1,0,0,0,0,1,1,0,0,0,1,0,0
2,3498,7,9,17,1,8,1,1,1,1,2,2,20667,3.5,8.8,3.5,4,0.78,11,27,1,0,0,0,0,1,0,1,0,0,1,0,0
2,3871,8,14,34,9,1,2,0,1,0,2,1,11297,2.5,5.7,5.0,1,0.57,4,30,1,0,0,0,0,1,1,0,0,0,0,0,1
3,3656,17,19,25,8,7,3,0,1,0,3,2,380,7.8,2.2,8.5,1,0.89,1,36,0,1,0,1,0,0,0,1,0,0,0,0,1
3,2068,29,30,12,7,4,2,1,1,1,3,2,1815,8.0,1.4,5.3,4,0.97,17,24,0,0,1,0,1,0,0,0,1,0,0,1,0
3,4702,13,24,5,6,2,3,1,0,0,3,2,500,14.2,1.6,6.4,4,0.54,14,21,0,1,0,1,0,0,0,0,0,1,0,0,1
4,3217,4,22,24,1,2,1,0,1,1,4,2,3500,8.1,3.8,1.7,1,0.18,17,31,0,1,0,0,0,1,0,0,0,1,0,1,0
2,648,13,14,29,7,9,2,0,0,1,2,1,3000,3.3,2.9,6.8,3,0.93,10,18,1,0,0,0,0,1,0,1,0,0,1,0,0
1,1672,5,7,9,10,9,2,1,1,0,1,1,855,8.2,4.3,7.7,2,0.71,10,3,0,0,1,0,0,1,0,1,0,0,1,0,0
4,3406,16,19,24,1,8,2,0,1,1,4,2,4378,1.3,3.4,4.7,4,0.84,8,2,0,0,1,0,0,1,0,1,0,0,1,0,0
4,4359,1,26,24,7,2,1,1,0,0,4,3,5798,13.3,6.0,3.5,4,0.04,9,22,1,0,0,0,1,0,0,0,0,1,1,0,0
2,4671,11,13,30,9,5,2,0,0,0,2,1,2900,4.2,6.6,6.2,4,0.85,6,12,0,0,1,0,0,1,0,1,0,0,0,1,0
4,1191,10,10,27,8,4,2,1,1,1,4,3,11730,1.3,6.5,5.6,1,1.0,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,4663,4,15,11,10,5,1,0,0,1,1,1,1815,4.2,2.9,5.3,4,0.27,17,24,0,1,0,1,0,0,1,0,0,0,0,0,1
4,2476,3,29,5,3,3,1,0,1,0,4,3,1803,12.0,3.2,2.6,5,0.1,2,32,1,0,0,1,0,0,1,0,0,0,0,1,0
3,2595,3,30,28,6,8,2,0,1,0,3,1,11297,4.8,8.2,6.2,3,0.1,4,30,1,0,0,1,0,0,0,0,1,0,0,1,0
4,1534,7,10,35,9,9,1,1,0,0,4,2,3800,9.8,4.7,6.2,2,0.7,6,14,1,0,0,0,0,1,0,0,0,1,0,1,0
3,3329,22,23,2,6,10,3,0,0,0,3,1,594,9.6,4.6,8.8,1,0.96,18,9,0,0,1,0,0,1,1,0,0,0,1,0,0
1,582,20,29,22,5,6,2,1,1,0,1,1,565,6.6,3.7,5.3,4,0.69,11,29,1,0,0,1,0,0,0,1,0,0,1,0,0
1,4077,25,29,12,9,1,2,0,0,1,1,1,1100,6.1,1.0,5.0,4,0.86,19,10,0,0,1,1,0,0,0,1,0,0,0,1,0
5,4092,2,19,24,3,6,2,0,0,0,5,3,1540,5.2,4.3,4.7,5,0.11,1,15,0,1,0,1,0,0,0,0,1,0,0,1,0
3,2235,5,30,16,2,10,3,0,0,0,3,2,18480,0.5,4.7,7.6,1,0.17,16,17,0,1,0,0,0,1,1,0,0,0,0,1,0
4,2952,1,23,6,3,8,1,1,0,1,4,2,4378,3.6,6.2,4.1,2,0.04,8,2,1,0,0,1,0,0,1,0,0,0,0,1,0
1,2119,22,28,20,5,8,3,0,0,0,1,1,2100,4.5,4.4,7.9,2,0.79,12,8,0,0,1,0,0,1,0,0,0,1,0,1,0
1,559,22,28,12,5,6,2,0,0,0,1,1,740,11.9,3.1,5.3,1,0.79,7,35,0,1,0,1,0,0,0,0,0,1,0,0,1
3,4524,5,28,32,3,3,3,0,1,0,3,2,1100,11.3,2.0,5.8,5,0.18,19,10,0,1,0,1,0,0,1,0,0,0,1,0,0
3,4012,7,24,14,9,2,1,1,1,1,3,2,1500,7.8,1.9,4.1,3,0.29,13,1,1,0,0,0,0,1,0,0,0,1,0,0,1
5,4719,2,21,22,10,4,2,1,0,1,5,3,565,11.5,2.1,6.2,2,0.1,11,29,1,0,0,0,0,1,0,1,0,0,0,1,0
1,2273,15,30,24,3,8,2,0,1,0,1,0,3500,8.5,4.8,5.3,5,0.5,17,31,1,0,0,0,0,1,0,0,1,0,0,0,1
4,4783,6,15,23,4,3,3,0,1,1,4,3,9000,5.5,5.9,6.1,2,0.4,4,11,0,0,1,0,0,1,0,0,1,0,0,0,1
1,4553,2,11,23,4,6,2,0,0,1,1,1,480,14.0,4.4,5.0,2,0.18,2,13,0,1,0,1,0,0,0,0,1,0,1,0,0
5,1908,3,5,20,3,5,2,0,1,1,5,3,1815,11.2,4.3,4.4,5,0.6,17,24,1,0,0,1,0,0,0,0,0,1,0,0,1
3,2626,17,22,6,9,1,3,0,0,0,3,1,1540,5.6,2.6,7.0,4,0.77,1,15,0,1,0,0,0,1,0,0,0,1,0,0,1
1,2895,14,27,3,9,1,3,1,1,1,1,1,2200,11.7,4.0,7.0,5,0.52,13,25,0,1,0,1,0,0,0,0,1,0,0,0,1
2,1426,9,23,30,2,7,2,0,0,1,2,1,380,5.1,4.3,4.7,4,0.39,1,36,1,0,0,0,0,1,0,0,0,1,0,1,0
1,2955,2,11,29,1,3,1,1,0,1,1,1,1200,6.9,2.9,2.0,5,0.18,7,20,1,0,0,0,1,0,0,1,0,0,0,0,1
1,3334,21,25,34,1,4,3,0,0,1,1,0,594,6.2,1.3,5.5,2,0.84,18,9,0,1,0,0,1,0,0,1,0,0,0,0,1
1,998,25,29,3,9,10,3,0,1,0,1,0,420,11.1,3.3,9.7,3,0.86,3,5,0,1,0,0,1,0,0,0,0,1,0,1,0
4,2815,20,27,21,10,7,2,1,1,1,4,3,2200,4.2,5.8,7.1,3,0.74,13,25,1,0,0,1,0,0,0,1,0,0,0,0,1
5,2528,19,24,32,3,7,3,1,1,0,5,3,2200,5.7,5.6,7.0,1,0.79,13,25,0,0,1,0,1,0,0,1,0,0,1,0,0
4,2590,21,27,34,9,8,3,1,0,1,4,2,855,11.6,1.0,9.1,5,0.78,10,3,1,0,0,0,1,0,0,1,0,0,1,0,0
2,3207,17,19,10,7,2,1,1,1,0,2,2,900,5.0,2.2,3.5,1,0.89,8,28,1,0,0,0,0,1,0,0,0,1,0,0,1
3,4318,10,21,9,3,1,2,0,1,0,3,2,420,8.7,5.2,3.2,2,0.48,3,5,0,1,0,0,1,0,0,1,0,0,1,0,0
2,4274,3,6,30,4,10,3,0,0,0,2,2,817,13.3,1.7,8.2,5,0.5,18,16,0,0,1,1,0,0,0,1,0,0,0,0,1
2,4993,1,16,24,9,1,2,1,1,0,2,1,2100,11.1,6.4,5.0,3,0.06,12,8,0,0,1,0,1,0,0,0,0,1,0,0,1
1,1757,15,17,21,2,5,2,0,0,1,1,0,594,14.6,1.7,4.1,2,0.88,18,9,1,0,0,0,0,1,1,0,0,0,1,0,0
5,4477,1,23,35,1,4,2,1,1,1,5,3,2000,4.7,5.1,3.5,4,0.04,15,7,1,0,0,0,0,1,0,1,0,0,1,0,0
3,4712,12,18,10,6,3,1,0,0,0,3,1,26903,0.5,8.9,3.5,5,0.67,15,6,0,0,1,0,1,0,1,0,0,0,1,0,0
3,2702,0,7,22,7,9,3,1,1,0,3,2,855,8.8,2.5,8.8,4,0.0,10,3,0,1,0,0,0,1,0,1,0,0,0,1,0
1,1674,8,17,16,3,1,1,0,0,0,1,0,5800,2.3,4.6,2.0,5,0.47,11,33,0,1,0,1,0,0,0,0,0,1,1,0,0
2,1827,2,16,3,5,4,3,1,0,0,2,1,900,3.2,3.4,6.7,2,0.12,8,28,1,0,0,0,0,1,0,1,0,0,0,0,1
1,3419,20,22,14,9,4,3,1,1,0,1,1,1040,6.1,3.1,7.9,3,0.91,0,39,1,0,0,1,0,0,0,1,0,0,0,0,1
4,2235,11,18,26,9,8,2,1,1,0,4,2,1040,10.1,1.3,7.1,2,0.61,0,39,0,1,0,1,0,0,0,0,1,0,0,1,0
5,4915,15,27,2,1,7,3,0,1,1,5,3,2100,11.8,3.3,6.4,1,0.56,12,8,0,1,0,0,1,0,0,0,1,0,0,1,0
1,652,15,26,24,3,9,2,1,1,0,1,1,24252,1.6,6.7,5.6,2,0.58,19,23,0,0,1,1,0,0,0,1,0,0,1,0,0
2,1677,13,16,2,5,8,2,1,1,0,2,1,2200,10.4,5.7,5.9,2,0.81,13,25,1,0,0,1,0,0,1,0,0,0,1,0,0
5,4711,9,13,25,5,9,1,1,1,0,5,3,1803,4.1,2.1,5.0,5,0.69,2,32,1,0,0,1,0,0,0,0,1,0,0,1,0
4,4614,2,16,16,9,8,3,0,1,1,4,2,1040,5.3,3.1,9.1,3,0.12,0,39,1,0,0,0,0,1,0,1,0,0,0,1,0
2,4380,14,15,25,2,8,3,0,1,1,2,1,480,9.3,6.7,7.0,1,0.93,2,13,1,0,0,1,0,0,0,0,1,0,0,1,0
3,2780,23,30,23,9,6,3,0,0,0,3,2,1040,13.7,1.5,8.5,3,0.77,0,39,0,0,1,0,0,1,0,0,0,1,1,0,0
4,4749,21,29,10,10,3,2,0,0,0,4,3,13600,9.1,8.7,5.9,5,0.72,5,37,1,0,0,0,1,0,0,0,1,0,1,0,0
2,4255,2,9,29,3,1,1,1,0,1,2,1,2200,3.9,8.2,2.0,5,0.22,13,25,0,1,0,0,0,1,0,1,0,0,0,0,1
3,4723,1,16,18,6,7,1,0,1,0,3,1,565,10.4,4.1,4.7,4,0.06,11,29,0,0,1,0,0,1,0,0,0,1,1,0,0
1,4643,19,29,31,3,6,2,1,0,1,1,1,1100,9.7,4.6,4.7,5,0.66,19,10,1,0,0,0,1,0,1,0,0,0,0,0,1
5,1236,13,25,4,8,6,1,0,0,0,5,2,2000,5.4,4.2,5.0,4,0.52,15,7,1,0,0,0,0,1,0,0,0,1,0,0,1
4,2756,17,28,31,10,10,3,1,1,0,4,2,480,6.0,3.8,10.0,2,0.61,2,13,0,1,0,0,0,1,0,1,0,0,0,0,1
5,3008,11,29,6,2,7,1,1,1,1,5,3,26903,4.2,6.6,3.5,4,0.38,15,6,1,0,0,0,1,0,0,1,0,0,0,1,0
2,1192,17,28,28,8,5,3,1,0,0,2,1,24252,3.8,6.7,7.9,4,0.61,19,23,0,1,0,0,0,1,0,1,0,0,0,0,1
3,3562,11,11,30,1,10,1,1,1,1,3,2,9000,8.8,6.5,4.1,1,1.0,4,11,1,0,0,0,0,1,0,0,1,0,0,1,0
2,3021,13,14,17,3,8,1,1,1,0,2,1,2100,6.9,4.6,4.1,4,0.93,12,8,0,0,1,0,0,1,0,1,0,0,0,1,0
3,3834,21,27,24,4,6,3,0,1,1,3,2,3500,12.9,4.6,7.0,2,0.78,17,31,0,0,1,0,1,0,1,0,0,0,0,0,1
2,3364,10,28,19,3,6,2,1,1,1,2,2,1540,11.4,3.7,4.7,2,0.36,1,15,0,0,1,0,0,1,0,0,0,1,0,0,1
5,2743,16,26,25,4,5,1,1,1,0,5,3,565,8.3,4.9,3.5,3,0.62,11,29,0,0,1,0,0,1,1,0,0,0,1,0,0
3,3346,13,26,32,1,1,1,1,1,0,3,2,2100,5.8,7.0,1.4,4,0.5,12,8,0,1,0,0,0,1,1,0,0,0,0,0,1
2,3822,12,24,7,3,10,3,0,0,1,2,1,690,7.8,2.4,7.9,5,0.5,3,34,0,0,1,0,1,0,1,0,0,0,0,0,1
1,1563,3,7,16,9,10,3,0,0,0,1,1,5798,11.7,3.7,9.7,2,0.43,9,22,0,1,0,1,0,0,0,0,0,1,0,1,0
3,3841,20,21,11,1,7,1,1,1,0,3,2,430,14.4,2.0,3.2,1,0.95,0,40,1,0,0,0,1,0,1,0,0,0,1,0,0
3,4751,19,26,13,8,8,3,0,1,1,3,2,855,3.6,2.9,8.8,5,0.73,10,3,0,0,1,0,0,1,0,0,0,1,0,1,0
4,3764,18,22,25,9,8,1,1,1,0,4,3,5798,12.3,7.4,5.9,1,0.82,9,22,1,0,0,1,0,0,0,0,0,1,0,1,0
2,1804,5,24,7,4,5,2,1,1,0,2,1,18480,3.2,7.5,4.7,2,0.21,16,17,0,1,0,1,0,0,0,0,1,0,1,0,0
1,4953,7,16,31,1,1,2,1,0,1,1,0,5798,10.5,6.8,2.6,1,0.44,9,22,0,0,1,1,0,0,0,0,1,0,0,0,1
1,3922,9,23,11,9,6,2,0,1,1,1,1,900,4.0,4.4,6.5,3,0.39,8,28,1,0,0,1,0,0,1,0,0,0,1,0,0
3,1571,21,28,16,1,2,3,0,1,1,3,2,24252,0.7,8.5,4.9,2,0.75,19,23,0,1,0,0,0,1,0,0,1,0,0,0,1
5,4043,13,17,35,5,2,3,0,1,0,5,2,3800,10.6,4.7,6.1,1,0.76,6,14,1,0,0,1,0,0,0,0,1,0,0,0,1
4,2435,1,14,17,3,5,2,1,0,1,4,2,1540,12.1,2.0,4.4,1,0.07,1,15,0,0,1,1,0,0,0,0,0,1,0,1,0
5,2947,24,28,18,5,3,2,1,0,0,5,3,13600,13.4,7.9,4.4,3,0.86,5,37,0,1,0,1,0,0,0,0,1,0,1,0,0
5,4929,16,25,5,5,8,3,1,0,1,5,3,20667,3.4,4.5,7.9,5,0.64,11,27,0,0,1,0,1,0,0,0,1,0,0,1,0
4,1497,1,13,20,8,10,3,1,1,1,4,2,2000,8.5,3.4,9.4,1,0.08,15,7,0,1,0,0,0,1,0,0,1,0,1,0,0
1,2800,17,29,22,8,4,2,1,1,0,1,1,11730,1.7,8.4,5.6,1,0.59,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0
3,3244,1,5,18,6,9,2,0,0,0,3,1,690,7.1,5.9,6.5,4,0.2,3,34,1,0,0,1,0,0,1,0,0,0,1,0,0
1,2205,0,20,34,8,9,1,1,0,0,1,0,1803,4.8,3.7,5.9,4,0.0,2,32,0,0,1,0,1,0,1,0,0,0,0,0,1
4,4360,5,6,6,8,8,3,0,1,0,4,2,1040,13.6,1.4,8.8,4,0.83,0,39,1,0,0,1,0,0,0,0,1,0,0,1,0
5,4900,2,20,34,4,3,2,1,0,1,5,2,3000,14.1,6.1,4.1,1,0.1,10,18,0,1,0,0,0,1,0,0,1,0,0,0,1
5,3075,19,24,32,10,3,1,1,1,0,5,3,855,5.0,1.3,4.7,1,0.79,10,3,0,0,1,1,0,0,0,0,0,1,0,1,0
